;;;;;;USA/CANADA;;;;;;;;OTHERS;;UK;;;;;;;;;;SPAIN;;FRANCE;;;;;;;;;;;;;;;Autres EUR;;;AMLAT;;;ASIA;ASIA;ASIA;;
Pays;Domaine ou Marque;Couleur;Nom du vin;Millésime;Available;Wine Spectator;Wine Enthusiast;Wine Advocate;Wine & Spirits;Vinous;James Suckling;Wine Align;Jeb Dunnuck;Miquel Hudin;TASTED Andreas Larson;Decanter;IWC;IWSC;Tim Atkin;Jancis Robinson;Wine Merchant Magazine;Wine Anorak;Harpers;Sommelier Edit Awards (Via CIVR);Drinks Business;Gourmets;Guia Penin;RVF;Le Point;Terre de Vins;Anivin;Mondial Grenache;Mondial SB;Gilbert & Gaillard;Sud-Ouest;Concours de Bruxelles;Académie des Vins et de la Gastronomie;Concours Général Agricole de Paris;Concours IGP;Bettane & Desseauve;PARIS INTERNATIONAL TROPHY;GILBERT & GAILLARD (gold entre 87 et 89 / dble gold à partir 90);Falstaff;Yves Beck;Mundus vini;Descorchados;Vinomanos;la CAV;Tatler HK;Jeannie Cho Lee MW;Sakura Wine Awards;RECAP EMAIL;date_ajout
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2024;;;;;;95;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;94 - Ranking Mejores blends Blancos;;;;;;"96TA ; 96 JS ; 94D + Mejores blends blancos ; 95Vinous";
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2019;;;;;;;92;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2022;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;REVELACION 93;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2013;;;;88;;;95;89;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2015;;88;;89;;88;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2016;;;;91;;92;94;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2017;x;;;90;;92;94;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WA ; 92V ; 94JS ; 92TA ; 94 Descorchados";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2018;x;;90;91;;;95;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"90WE ; 91WA ; 92TA ; 94D ; 95JS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2019;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93TA;
